Product / Vertical;Country;Vendor;Domain;Source type;CATEGORY;entity;Term Alias;Term code;Term name;Term description;Json/XML Tag(if different);Default representation;Color scale;Data type;Length;Decimal;Units (Symbols);Accuracy;Range;Data_visibility;Data_source;Granularity;time zone;KPIs of KPIs;KPI formula;Example;IP source;schema_db;db_table_source;hierarchy;first_collection;last_collection
WORLD;ES;WDNA;;NP;;DVC;;altittude;Altitude from to sea level ;Altitud respecto al nivel del mar;;numerical;no;integer;5;;m;;;;;;;;;1400m;;;;;;
WORLD;ES;WDNA;;PM;;DVC;;battery_level;Battery charge level;Nivel de carga de bateria;;graphic;no;float;4;2;%;;;;;;;;;23.33%;;;;;;
WORLD;ES;WDNA;;PM;;DVC;;battery_voltage;Battery voltage;Voltaje de la batería;;numerical;no;float;4;2;V;;;;;;;;;4.25V;;;;;;
WORLD;ES;WDNA;;NP;;DVC;;latitude;Geographics latitude;Latitud geográfica;;numerical;no;float;2;5;;;;;;;;;;435.664;;;;;;
WORLD;ES;WDNA;;NP;;DVC;;longitude;Geographics longitude;Longitudgeográfica;;numerical;no;float;3;5;;;-180 to 180;;;;;;;209.874;;;;;;
WASTE;ES;WDNA;;PM;;DVC;;volume;Device Volume;Volumen del contenedor;;numerical;no;float;7;2;Lt m3;;;;;;;;;23.43 m3;;;;;;
WASTE;ES;WDNA;;PM;;DVC;;weight;Device Weight;Peso del contenedor;;numerical;no;integer;7;;Kg;;;;;;;;;1.200Kg;;;;;;
WEATHER;ES;DAVIS;;PM;;WS;;humidity;Relative humidity;Humedad relativa;;numerical;no;float;4;2;%;;;;;;;;;0.22%;;;;;;
WEATHER;ES;DAVIS;;PM;;WS;;precipitation;Precipitation;Precipitación;;numerical;no;float;3;1;mm;;;;;;;;SUM(rain_accumulate);25mm;;;;;;
WEATHER;ES;DAVIS;;PM;;WS;;min_precipitation;Minimum rain precipitation;Valor mínimo de rain_accumulate registrado ese día para el enlace.;;numerical;no;float;3;1;mm;;;;;;;;MIN(rain_accumulate);25mm;;;;;;
WEATHER;ES;DAVIS;;PM;;WS;;max_precipitation;Maximum rain precipitation;Valor máximo de precipitación del día.;;numerical;no;float;3;1;mm;;;;;;;;MAX(rain_accumulate);25mm;;;;;;
WEATHER;ES;DAVIS;;PM;;WS;;precipitation_intensity;Precipitation Intensity;Intensidad de Precipitación;;numerical;no;float;4;2;mm/h;;;;;;;;;2.35mm/h;;;;;;
WEATHER;ES;DAVIS;;PM;;WS;;pressure;Pressure;Presión;;numerical;no;integer;4;;hpa;;;;;;;;;1024 hpa;;;;;;
WEATHER;ES;DAVIS;;PM;;WS;;rain;Rain;Lluvia;;numerical;no;float;3;1;mm;;;;;;;;;100mm;;;;;;
WEATHER;ES;DAVIS;;PM;;WS;;rain_rate;Rain intensity;Intensidad de lluvia;;numerical;no;float;4;2;mm/h;;;;;;;;;3.10mm/h;;;;;;
WEATHER;ES;DAVIS;;PM;;WS;;solar_rad;Solar radiation;Radiación solar;;numerical;no;float;4;1;W/m2;;;;;;;;;1100W/m2;;;;;;
WEATHER;ES;DAVIS;;PM;;WS;;temperature;Temperature;Temperatura;;numerical;yes;float;5;2;ºC ºF K;;;;;;;;;28.4ºC;;;;;;
WEATHER;ES;DAVIS;;PM;;WS;;uv_index;Ultraviolet index;Indice ultravioleta;;numerical;yes;integer;2;;UV;;0 to 13;;;;;;;7;;;;;;
WEATHER;ES;DAVIS;;PM;;WS;;wind_direction;Wind direction;Dirección del viento;;graphic;no;float;3;1;º;;;;;;;;;250º;;;;;;
WEATHER;ES;DAVIS;;PM;;WS;;wind_speed;Wind speed;Velocidad del viento;;numerical;no;float;4;4;kn;;;;;;;;;12.3kn;;;;;;
WEATHER;ES;DAVIS;;PM;;WS;;windgust_direction;Wind gust direction;Dirección de la racha de viento;;graphic;no;integer;3;1;º;;;;;;;;;90º;;;;;;
WEATHER;ES;DAVIS;;PM;;WS;;windgust_speed;Wind gust speed;Velocidad de la racha de viento;;numerical;no;float;4;4;kn;;;;;;;;;27kn;;;;;;
WIRELESS;MEX;HUAWEI;TX;CM;ID;MW;ID;;;;;;;;;;;;;;;;;;;;;;;;;
WIRELESS;MEX;NEC;TX;CM;ID;MW;ID;;;;;;;;;;;;;;;;;;;;;;;;;
WIRELESS;MEX;HUAWEI;TX;CM;LOCATION;MW;SITE;;;;;;;;;;;;;;;;;;;;;;;;;
WIRELESS;MEX;NEC;TX;CM;LOCATION;MW;SITE;;;;;;;;;;;;;;;;;;;;;;;;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;a;AMDOWNCNT;Count of the downshift of the AM  (adaptative modulation )scheme;Count of the downshift of the AM  (adaptative modulation )scheme;;numerical;no;integer;;0;Second;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;AMUPCNT;Count of the upshift of the AM scheme;Count of the upshift of the AM scheme;;numerical;no;integer;;0;Second;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;ATPC_N_ADJUST;ATPC Negative ADJUST;Ajuste negativo de ATPC (automatic transmit power control). This performance event indicates that the quality of a communication link becomes well or the transmit power of the ODU is very large. Therefore. you can decrease the transmit power of the ODU;;numerical;no;integer;;;times;;;;;15;;;;25 times;xxx.xxx.xxx.xxx;;PM_IG30028;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;ATPC_P_ADJUST;ATPC Positive ADJUST;Ajuste positivo de ATPC (automatic transmit power control). This performance event indicates that the quality of a communication link declines. Therefore. you must increase the transmit power of the ODU to maintain the communication quality.;;numerical;no;integer;;0;times;;;;;15;;;;200 times;xxx.xxx.xxx.xxx;;PM_IG30028;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;NP;CONFIGURATION;MW;;Azimuth;Ángulo medido en sentido de rotación de las agujas de un reloj alrededor del horizonte del observador desde el Norte geográfico. Se emplea para indicar la orientación de un elemento radio en telecomunicaciones.;Ángulo medido en sentido de rotación de las agujas de un reloj alrededor del horizonte del observador desde el Norte geográfico. Se emplea para indicar la orientación de un elemento radio en telecomunicaciones.;;numerical;no;integer;2;0;º;;;;;;;;;120º;;;;;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;FEC_BEF_COR_ER;FEC bit error rate before correction;FEC bit error rate before correction;;numerical;no;integer;;0;none;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;FEC_COR_BYTE_CNT;Byte count corrected by FEC;Byte count corrected by FEC;;numerical;no;integer;;0;none;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;FEC_UNCOR_BLOCK_CNT;Frame count uncorrect by FEC;Frame count uncorrect by FEC;;numerical;no;integer;;0;Block;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;IF_BBE;Intermediate Frequency Background Block Error. IF_BBE indicates the radio link background block error. BBE refers to the errored blocks excluding the errored blocks in the unavailable and severely errored seconds.;Intermediate Frequency Background Block Error. IF_BBE indicates the radio link background block error. BBE refers to the errored blocks excluding the errored blocks in the unavailable and severely errored seconds.;;numerical;no;integer;;0;Block;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;IF_BER;Radio link bit error ratio;Radio link bit error ratio;;numerical;no;float;;;none;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;AVAILABILITY;MW;;IF_CABLE_OPEN;The IF_CABLE_OPEN alarm indicates that the IF cable is disconnected.;The IF_CABLE_OPEN alarm indicates that the IF cable is disconnected.;;numerical;yes;boolean;1;0;;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;IF_CSES;Intermediate Frequency Consecutive Severely Errored Second;Intermediate Frequency Consecutive Severely Errored Second;;numerical;no;integer;;0;Second;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;b;IF_ES;Intermediate Frequency Errored Second. IF_ES indicates the radio link errored second.ES refers to a second in which one or more errored blocks are detected.;Intermediate Frequency Errored Second. IF_ES indicates the radio link errored second.ES refers to a second in which one or more errored blocks are detected.;;numerical;no;integer;;0;Second;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;IF_MSE_AVG;Radio Link Mean Square Error - Average;Radio Link Mean Square Error - Average;;numerical;no;float;;;dB;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;IF_MSE_CUR;Radio Link Mean Square Error - Current;Radio Link Mean Square Error - Current;;numerical;no;float;;;dB;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;IF_MSE_MAX;Radio Link Mean Square Error - Max;Radio Link Mean Square Error - Max;;numerical;no;float;;;dB;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;IF_MSE_MIN;Radio Link Mean Square Error - Min;Radio Link Mean Square Error - Min;;numerical;no;float;;;dB;;;;;15;;;;;;;TBD;;;
